Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Job_Code,hourly,employer_provided,min_salary,max_salary,avg_salary,company_text,job_state,python,masters,statistic,SQL,spark,AWS,Tableau,Hadoop,experience,C_lang,Java,app,debug,HTML,object
Data Analyst,$78K - $129K (Glassdoor est.),"Wednesday, October 14, 2020

 
The Data Science Division works on projects to help the Department of the Navy and other government agencies to develop advanced analytics and algorithms for systems, sensors, networks, and platforms to ensure America's defense in the 21st century. DSD researchers have relevant experience (either in course work, previous job experience, or military experience) in programming, machine learning, model building, and data visualization.CNA fosters an inclusive culture that values diverse backgrounds and perspectives. Our flexible and engaging work environment encourages iterative and creative collaboration at every stage of the problem solving process. Our employees are committed to helping clients develop effective solutions to better manage their programs through scientific, data-driven approaches.

We are looking for creative and innovative individuals to help carry out our mission.


JOB DECRIPTION/ DUTIES

Data Analysts I in the Data Science Program work on projects to develop advanced analytics and algorithms for the Department of the Navy and other government agencies to ensure America's defense in the 21st century. Data Analyst I learn CNA's unique approach to analytics that combines an understanding of the technical capabilities with insights acquired from up close and current experience with real-world military operations.

1. Leverage R and/or Python to develop machine learning models for, e.g., regression, classification, natural language processing, and/or image recognition.

2. Develop an understanding of Navy and Marine Corps operations, maintenance, supply, training, and personnel datasets.

3. Extract, transform, load (ETL) data from various data sources in order to initiate analysis.

4. Conduct data preparation including cleaning, wrangling, joining, and converting data in order to provide a useable analytic dataset. 

5. Conduct Exploratory Data Analysis (EDA) to include the use of data visualizations (e.g. Dash, MATPLOTLIB, R Shiny, ggplot2, Power BI, etc.), correlations, empirical/theoretical distributions of data, and summary statistics. 

6. Apply statistical methods including descriptive and inferential techniques using parametric and nonparametric statistics. 

7. Communicate analysis and results clearly, concisely and precisely.

8. Support projects by analyzing complex datasets and using effective visualizations of data in their results.

9. Serve as an effective team member by fulfilling assignments in a timely and efficient manner. Works cooperatively and accepts guidance and direction from others. Exhibits a positive attitude, and takes responsibility for own actions and outcomes.

10. Interact with functional peers within the organization, as well as sponsors / clients/ vendors; sometimes with guidance from others. Interaction normally involves exchange or presentation of factual, but somewhat varied and complex information.

JOB REQUIREMENTS

1. Education: Bachelor’s degree in Data Science, Programming, Statistic or related field or equivalent experience required.

2. Experience: Relevant experience demonstrated from course work and/or relevant work history including internships.

3. Skills: Ability to construct effective briefings using MS PowerPoint and intermediate skills with MS Word and Excel and other standard software packages. Ability to apply machine learning techniques, building models (statistical, mathematical, simulation, etc.) in programming languages such as R or Python. Ability to analyze complex datasets using effective visualizations of data in achieved results; skilled in programming, statistics, machine learning, and data visualization. Working knowledge of data and information management analysis techniques and best practices.

4. Other: Ability to obtain and maintain an Active Security Clearance.

**Note: To be considered for this position, please upload your transcripts**

CNA is committed to providing equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, religion, color, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service and protected veterans, or other non-merit based factors. In addition to federal legal requirements, CNA complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. These protections extend to all terms and conditions of employment, including recruiting and hiring practices, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training and career development programs. For more information about EEO protections, please view the EEO is the law posters below: ""EEO is the Law"" Poster; ""EEO is the Law"" Poster Supplement. The pay transparency policy is available here: Pay Transparency Nondiscrimination Poster

To be considered for hire, all individuals applying for positions with CNA are subject to a background investigation. For positions requiring access to classified information, U.S. citizenship is required. Individuals will also be subject to an additional government background investigation, and continued employment eligibility is contingent upon the ability to obtain and maintain an active security clearance.

Other details





 Job Family

 Technical



 Job Function

 Career Path I - Research



 Pay Type

 Salary





Apply Now

 
",3.3,"CNA Corporation
3.3","Arlington, VA",AN,0,0,78,129,103.5,"CNA Corporation
", VA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Data Analyst,$37K - $66K (Glassdoor est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.JOB SUMMARY:The Data Entry Coordinator will be responsible for inputting all QSI Operations data on a weekly basis and maintaining organized records. Will prepare new account documentation such as sales proposals. Planning, coordinating, and other duties as assigned will also be a function of this position.EDUCATION:Required: High school diploma or GED; or equivalent combination of education, training, and experience.Preferred: Associate Degree or B.S. in Business or Accounting preferred; or equivalent combination of education, training, and experience.EXPERIENCE:Required: 1-3 years of relevant experiencePreferred: 3-5 years of relevant experiencePOSITION REQUIREMENT(S): Specialized Skills/License/CertificationRequired: Must have strong computer (Microsoft Office Suite) and interpersonal skills, be an effective communicator, possess strong organizational skills, work well under time constraints, and demonstrate a high degree of professionalism. Intermediate + level of experience working in Microsoft Excel with pivot tables, formulas, etc.Preferred: Secretarial certification or licensure is a plus. Advanced level of proficiency in Microsoft Excel. Previous experience with Concur Travel and Expense Reporting software.CORE COMPETENCIES (Essential Job Functions)Enter all weekly reporting information into Excel tracking sheets including chemical and supply usage, site budget information, and labor costs Track and maintain reports and access on QSI Sharepoint and Portal Assist in coordination of weekly billing including customer related billing questions. Create, maintain, and update Customer Bids / Proposals, Pipeline Report, and Internal Sales data Maintain organizational data for QSI Operations including org charts, site addresses, and management contact information Set up and monitor direct billing/lodging for support help in the field for management teams as well as Milk Run Shipping reports for all QSI locations. Assist with conducting research, compiling data, and preparing papers for consideration and presentation by executives, committees and directors. Record minutes from meetings when required Coordinate travel plans for QSI executive staff when necessary. Perform administrative support tasks, such as proofreading, transcribing handwritten information, or operating computers and work with other documents. Completes special projects upon requests, and other duties may be assigned.VIN123If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",3.1,"The Vincit Group
3.1","Chattanooga, TN",AN,0,0,37,66,51.5,"The Vincit Group
", TN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Data Analyst,$97K - $153K (Glassdoor est.),"Associate Data Analyst (Entry Level)

Are you looking to be proud of what you do, as well as challenge your skills while working with other professionals who are great at what they do? Are you never satisfied with good enough and want to be a valuable contributor to a collective success? If so, then we have the opportunity for you!

Based in Marlborough MA, our client is a Software as a Service company that provides solutions that enable Accounts Payable, Internal Audit and Purchasing departments to identify duplicate payments, claim missing credits and recover lost profits.

As an Associate Data Analyst, you will have exposure to Accounts Payable and Purchasing datasets from Fortune 500 companies. Your primary responsibilities will be to:


Manage and analyze daily/weekly/monthly data feeds received from clients
Ensure all data is loaded and review the raw data through proprietary technology
Run the data through software and review the results to help identify lost profits
Develop new reports in SQL to help improve the overall client experience
Respond to client’s queries and ad hoc report requests

As you grow and develop with the business, you can look forward to being involved in the future development of core products.

Qualifications:


Bachelor’s degree

Preferred


Knowledge of SQL and/or SQL Server
Knowledge of Relational Database Structure
Detail orientated with a strong ability to stay focused
Can communicate ideas clearly and effectively in a team environment
Strong quantitative and analytical skills
Must have the ability to think and act independently
Accounting or Business Analysis coursework
Skilled in Microsoft Office product including Excel
Strong problem solving skills with the ability to think outside the box
Time management and organizational skills
Adept at being able to research and solve problems independently
Ability to have a good time
A great sense of humor

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",4.3,"Insperity
4.3","Marlborough, MA",AN,0,0,97,153,125.0,"Insperity
", MA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,$97K - $153K (Glassdoor est.),"We Embrace Change – We Pursue (Pear)fection – We Hear You – We Work Hard, Play HardData Analyst

 Who We Are:Founded by a dream team of world-class cosmetic scientists, MIT engineers, and developers. Function of Beauty is a leader in customized beauty that creates personalized hair, skin, and body care products.The Perks:Function of Beauty perks includes eligibility for medical, dental, and vision starting the month after you are hired. You also receive short-term and long-term disability, 401(k) with company match, paid time-off, safe and sick time, and discounted customized products. We also offer free lunch once a week, bi-weekly chair massages, and are a pet friendly office! As a growing company there is plenty of room for professional growth. Function of Beauty believes in great employee culture so we often have employee events for our people.What You'll Do:The Data team focuses on continuously improving the accuracy and efficiency of our analytics and reporting infrastructure. We drive process optimizations forward and provide an analytical framework for the insights that inform digital product, marketing, and business decisions across the company.

We are looking for someone with a strong business mindset and proven advanced analytical skills. As a Data Analyst you will work at the intersection of strategy and data to tackle problems and uncover business opportunities across the organization. You'll work to refine what we measure and how we interpret and use that data to inform business decisions. You'll work with individual teams to enhance their use of data to improve efficiencies and you'll continually teach what you learn to others.Functions & Responsibilities:


Work with complex datasets across our rich and varied platforms to perform analysis and design predictive models.Use data to discover business insights, uncover new opportunities, provide recommendations and influence decisions.Deepen our understanding of pattern/trends in customer behavior, support customer experience optimization and improve both acquisition and retention.Work cross-functionally to ensure access to useful data and drive value creation.Promote a data-driven organization and empower teams with actionable data and with automated and intuitive KPI dashboards.Support our A/B testing activities in conjunction with the Engineering team.Constantly look for improvements in tools, data sources, data quality, and analytic techniques; build structure and process around data science initiatives and requests.


What You Need:




You have a bachelor's degree in a quantitative field (math, data science, computer science, economics). Graduate degree is a plus.You are an expert with MySQL and have experience with industry leading business intelligence tools, such as Mode, Periscope, Tableau, or Looker. Knowledge of Python is a plus.You have experience with creating and managing data warehouses, as well as the ETL/ELT work flow.You have 1 to 2 years of experience in solving business problems by leveraging large datasets. Direct to Consumer start-up experience a plus.You have proven ability to think creatively, solve strategic problems, learn quickly, work independently, handle ambiguity and clearly communicate results in a business-oriented manner.


Employment Category: 




Full Time, Exempt

The information contained herein is not intended to be an all-inclusive list of the duties and responsibilities of the job, nor are they intended to be an all-inclusive list of the skills and abilities required to successfully do the job.

Function of Beauty is an Equal Opportunity Employer",3.5,"Function of Beauty
3.5","New York, NY",AN,0,0,97,153,125.0,"Function of Beauty
", NY,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Data Analyst,$38K - $68K (Glassdoor est.),"Entry Level Analyst | Cambridge, MA, United States

Sick of those 'entry level jobs' that require 1-2 years experience? If you have an analytical and quantitative mindset, and are looking to apply that to solving interesting problems everyday - Please Apply!

Our analyst team gets to work on all aspects of our business, from optimizing user experience on the site to monetization in order to help grow our reach as a media company. We work with MySQL, Python, R, Excel, and more, though no prior knowledge of programming is required.

We're looking for analytical thinkers interested in scaling our business and using big data to give our users the best experience across our platform.

Come help us solve cool problems and grow the startup!

What we're looking for:

B.A./B.S. in Mathematics, Statistics, Physics, or another quantitative field

Ability to plan out a process and execute on it on a daily basis with an emphasis on achieving and measuring results

Demonstrated ability to learn quickly

General understanding of market segmentation, sizing and statistics

Experience with or desire to learn R, mySQL, Python, and more

Bonus points if you have:

Experience with email marketing (and SEM, SEO, display)

Experience with online advertising / marketing growth metrics

Things You'll Like About HopJump:


We value and encourage creative thinking & intellectual curiosity.
You'll have a very clear understanding of how your work matters to the company.
You'll find interesting new challenges every day on the forefront of online marketing.
You'll be given the responsibility to have a big impact on and opportunities for leadership within our business from early on.
You'll be part of a passionate team with broad skills and interests.
We have fun! Frequent company outings, lunches, and parties.
We offer competitive salaries, excellent benefits, and a relaxed work environment with plenty of perks.
",4.9,"Hopjump
4.9","Cambridge, MA",AN,0,0,38,68,53.0,"Hopjump
", MA,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Data Analyst,$38K - $68K (Glassdoor est.),"Cobbs Creek Healthcare is a commercial analytics consulting firm with a focus on the pharmaceutical industry. Our forward-looking approach to supporting commercial organizations provides the industry with the tools and insights it needs to quickly adapt to the constant changes in market dynamics.The role of our Analytics team is to design innovative analytic solutions to solve complex business problems. Through analytically derived insights, we provide our clients with visibility into their business while systematically leading them towards improved business performance. As part of the team, you will be engaged in a variety of projects with different aspects of the customer life cycle. To be successful in this role, you will need strong problem-solving skills, an ability to work independently in a fast‐paced environment and be comfortable dealing with ambiguity and change. The ability to handle multiple projects and collaborate with co-workers and clients is essential.Position Responsibilities: · Consume, analyze and manage data using SAS, R, SQL and other statistical programming languages as required· Report and interpret the results of statistical analyses, including information in the form of graphs, charts, and tables· Conduct basic business analysis and reporting· Perform ad hoc analysis of business situations, systems, issues and problems· Transform results of statistical analyses into consumable reports in Excel, PowerPoint, etc.· Learn and understand the businesses of the clients you support***Please include your undergraduate GPA in your application***Position Qualifications: · Bachelor’s degree in a quantitative discipline (e.g. Statistics, Mathematics, Economics, Finance, Operations Research, Engineering, etc.).· Strong problem-solving skills· Experience with Microsoft Office applications (Excel, PowerPoint, Word, etc.)· Experience in SAS Programming is preferred· Experience in R is preferred· Experience in Statistical Modeling is preferred· Experience in SQL Programming is preferred· Experience in BI tools (Tableau, Qlik, PowerBI, etc.) is preferred· Excellent work ethic and a great team playerJob Types: Full-timeRemote work available now, but once covid-19 restrictions are lifted, employee will be required to work full-time at the Newtown Square, PA (19073) location.Job Types: Full-time, InternshipPay: $15.00 - $19.00 per hourBenefits:401(k)Dental insuranceEmployee assistance programHealth insuranceLife insurancePaid time offParental leaveReferral programVision insuranceSchedule:Monday to FridayEducation:Bachelor's (Preferred)Experience:SQL: 1 year (Preferred)Work Location:One locationThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborativeCompany's website:https://www.cobbscreekhealthcare.com/Benefit Conditions:Waiting period may applyOnly full-time employees eligibleWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview processVirtual meetings",-1.0,Cobbs Creek Healthcare,"Newtown Square, PA",AN,0,0,38,68,53.0,Cobbs Creek Healthcare, PA,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
Data Analyst,$38K - $68K (Glassdoor est.),"POSITION SUMMARY:The Data Analyst I uses their technical skills and training to extract data from core application libraries for the purposes of creating and manipulating spreadsheets and formulas, discovery of patterns and relationships, and creation of summarized reports for senior management. These reports are used to assess events and trends, as interpreted from health care clinical data. Candidates must have a strong mathematical ability and a passion for analytical work. Under the direction of the Chief Information Officer (CIO), the Data Analyst I will function as an internal consultant for the Information Systems Department and serve as a support specialist for projects relating to performance improvement, enhancements to quality outcomes for patient services, and the proper use of professional resources to meet organizational objectives.SPECIFIC DUTIES:Analyze proposed projects.Develop reports, proposals, presentations, analyses, dashboardsPrepare and maintain all documentation needed for due diligence, projects, etc.Organize a methodology to auto-generate standing reports and to quickly respond to prioritized information requests. Performs other duties as assignedPerform other duties as assignedMINIMUM REQUIREMENTS:Bachelors degree with a major in Health Services Administration, Mathematics, Statistics, Economics, Finance or Information Technology, and at least 3 years of experience in scientific or data analytics is preferred.Experience in data analysis for hospital, public health or advocacy institutions is preferredExpert or very advanced Excel skills.Expert or very advanced SQL report composition skillsAdvanced data analysis (“mining”) and data modelingExcellent professional presentation and written communication skills.Experience in developing dashboards, graphical display, and statistics is preferredExperience with healthcare (medical or surgical) data analysis is preferredExperience with NextGen and i2i software preferredPERFORMANCE REQUIREMENTS:Knowledge of principles and practices of organization, administration, and personnel managementKnowledge of statistical methods and methods of graphic presentationKnowledge of modern office procedures, methods and computer equipmentKnowledge of technical report writing proceduresAbility to analyze facts and make sound recommendationsAbility to work with and control sensitive, confidential informationAdvanced skills in using computerSkill in identifying problems and recommending solutionsAbility to exercise initiativeAbility to express oneself clearly and concisely both orally and in writingAbility to prepare comprehensive statistical and narrative reportsAbility to work well both independently and within a team environmentTYPICAL PHYSICAL DEMANDS:Ability to operate a keyboard, sit for long periods of time, bend, squat and reach occasionally. Requires manual and finger dexterity and eye-hand coordination. Occasionally lifts and carries items weighing up to 25 pounds. Vision must be correctable to 20/40 and hearing must be in the normal range for telephone contacts. Frequent concentration and ability to work independently.TYPICAL WORKING CONDITIONS:Most daily tasks are performed in the corporate headquarters business office. This employee may be required to attend meetings and conferences away from the main office, at other CMC sites and elsewhere.",3.2,"Community Medical Centers Inc
3.2","Stockton, CA",AN,0,0,38,68,53.0,"Community Medical Centers Inc
", CA,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
Data Analyst,$38K - $68K (Glassdoor est.),"Data Analyst I - (3135551)The Harvard Aging Brain Study is seeking a full-time Data Analyst for a neuroimaging research program at the Athinoula A. Martinos Center for Biomedical Imaging at Massachusetts General Hospital and Harvard Medical School. We investigate alterations in brain function, structure, cognition and molecular pathology in normal aging and Alzheimer's disease. This position joins the data processing and informatics team and will report to the Data Analytics Manager. In this position, the successful candidate will help to develop and carry out statistical analysis plans for various ongoing projects in the lab. We see the skills that will be developed in this job as allowing the future candidate to successfully progress towards graduate programs in relevant fields (e.g. neuroscience, psychology, applied statistics).PRINCIPAL DUTIES AND RESPONSIBILITIES:Development, implementation, and cataloging of statistical analysis plans across the lab for ongoing projects.Rapid assembly and manipulation of datasets for analysis.Implementation of statistical analysis plans to produce results for eventual publication and conference dissemination for other lab personnelDevelopment and/or implementation of new analytic tools/statistical packages and providing training and assistance to other researchers on the use and function of analytic and visualization tools (predominantly using R).Researching, assessing, and implementing novel statistical models and approaches (predominantly using R).Working with researchers to develop and implement statistical data analytics and visualizations in service of research aims.Provide consultation and drafting of methods and results sections for manuscripts in collaboration with researchers.SKILLS/ABILITIES/COMPETENCIES REQUIRED:Strong statistical and data analysis skills.Proficiency with R.Advanced computer skills, with the ability to manipulate large and varied datasets.Must be highly motivated and well-organized, personable, and empathetic both with research participants and fellow workers.Level of responsibility and maturity to work under pressure and meet the requirements of clinical research neuroscience laboratory.Very detail-oriented and highly organized.Ability to work independently and as part of a team.Some exposure to other scripting languages, such as MATLAB, python, etc.Any exposure to other statistical packages is of interest but not essential (e.g. MPlus, SPSS, etc).EDUCATION:B.A., B.S. required. Master's level candidates are strongly preferred, particularly with training in the fields of biostatistics, applied mathematics or statistics. Individuals without formal training in these areas, but with the requisite experience and desired core skills will also be considered.EEO StatementMassachusetts General Hospital is an Equal Opportunity Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. Applications from protected veterans and individuals with disabilities are strongly encouraged.Primary Location MA-Charlestown-MGH 13th StreetWork Locations MGH 13th Street 149 13th Street Charlestown 02129Job Professional/ManagerialOrganization Massachusetts General Hospital(MGH)Schedule Full-timeStandard Hours 40Shift Day JobEmployee Status RegularRecruiting Department MGH Neurology ResearchJob Posting Dec 23, 2020",4.1,"Massachusetts General Hospital(MGH)
4.1","Charlestown, MA",AN,0,0,38,68,53.0,"Massachusetts General Hospital(MGH)
", MA,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Data Analyst,$38K - $68K (Glassdoor est.),"Data Analyst I - Data Science TeamCNA, 3003 Washington Blvd, Arlington, Virginia, United States of America Req #129 Wednesday, October 14, 2020The Data Science Division works on projects to help the Department of the Navy and other government agencies to develop advanced analytics and algorithms for systems, sensors, networks, and platforms to ensure America's defense in the 21st century. DSD researchers have relevant experience (either in course work, previous job experience, or military experience) in programming, machine learning, model building, and data visualization.CNA fosters an inclusive culture that values diverse backgrounds and perspectives. Our flexible and engaging work environment encourages iterative and creative collaboration at every stage of the problem solving process. Our employees are committed to helping clients develop effective solutions to better manage their programs through scientific, data-driven approaches.We are looking for creative and innovative individuals to help carry out our mission.JOB DECRIPTION/ DUTIESData Analysts I in the Data Science Program work on projects to develop advanced analytics and algorithms for the Department of the Navy and other government agencies to ensure America's defense in the 21st century. Data Analyst I learn CNA's unique approach to analytics that combines an understanding of the technical capabilities with insights acquired from up close and current experience with real-world military operations.1. Leverage R and/or Python to develop machine learning models for, e.g., regression, classification, natural language processing, and/or image recognition.2. Develop an understanding of Navy and Marine Corps operations, maintenance, supply, training, and personnel datasets.3. Extract, transform, load (ETL) data from various data sources in order to initiate analysis.4. Conduct data preparation including cleaning, wrangling, joining, and converting data in order to provide a useable analytic dataset.5. Conduct Exploratory Data Analysis (EDA) to include the use of data visualizations (e.g. Dash, MATPLOTLIB, R Shiny, ggplot2, Power BI, etc.), correlations, empirical/theoretical distributions of data, and summary statistics.6. Apply statistical methods including descriptive and inferential techniques using parametric and nonparametric statistics.7. Communicate analysis and results clearly, concisely and precisely.8. Support projects by analyzing complex datasets and using effective visualizations of data in their results.9. Serve as an effective team member by fulfilling assignments in a timely and efficient manner. Works cooperatively and accepts guidance and direction from others. Exhibits a positive attitude, and takes responsibility for own actions and outcomes.10. Interact with functional peers within the organization, as well as sponsors / clients/ vendors; sometimes with guidance from others. Interaction normally involves exchange or presentation of factual, but somewhat varied and complex information.JOB REQUIREMENTS1. Education: Bachelor’s degree in Data Science, Programming, Statistic or related field or equivalent experience required.2. Experience: Relevant experience demonstrated from course work and/or relevant work history including internships.3. Skills: Ability to construct effective briefings using MS PowerPoint and intermediate skills with MS Word and Excel and other standard software packages. Ability to apply machine learning techniques, building models (statistical, mathematical, simulation, etc.) in programming languages such as R or Python. Ability to analyze complex datasets using effective visualizations of data in achieved results; skilled in programming, statistics, machine learning, and data visualization. Working knowledge of data and information management analysis techniques and best practices.4. Other: Ability to obtain and maintain an Active Security Clearance.**Note: To be considered for this position, please upload your transcripts**CNA is committed to providing equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, religion, color, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service and protected veterans, or other non-merit based factors. In addition to federal legal requirements, CNA complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. These protections extend to all terms and conditions of employment, including recruiting and hiring practices, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training and career development programs. For more information about EEO protections, please view the EEO is the law posters below: ""EEO is the Law"" Poster; ""EEO is the Law"" Poster Supplement. The pay transparency policy is available here: Pay Transparency Nondiscrimination PosterTo be considered for hire, all individuals applying for positions with CNA are subject to a background investigation. For positions requiring access to classified information, U.S. citizenship is required. Individuals will also be subject to an additional government background investigation, and continued employment eligibility is contingent upon the ability to obtain and maintain an active security clearance.Other detailsJob Family Technical Job Function Career Path I - Research Pay Type Salary",3.4,"CNA
3.4","Arlington, VA",AN,0,0,38,68,53.0,"CNA
", VA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Data Analyst,$38K - $68K (Glassdoor est.),"



 Data Analyst I

Burlington,

 VermontWe have 

 a

 Contract

 position

 for 

 ""Data Analyst I"" 

 with one of our direct clients in

 Burlington, Vermont

 for initial contract duration of 

 11+ months.

 No third party candidates considered for this position. US citizens and all those authorized to work in the US are encouraged to apply.Job DescriptionMain Responsibilities:



 Support Queue Coordination and Case Assignment Management
Client Data Mapping Management
Troubleshoot data-related problems from Cases

Other Responsibilities:



 Keep up-to-date of industry data standards via project work
Assist senior team members with case work follow up



Required Skills




 Adept with Salesforce (preferred)
Proficient in MS Office Suite (Excel, Access, Word etc.)
Proficient problem-solving skills
Excellent written and virtual communication and collaboration skills
Customer Support Job Experience or IT support experience
Salesforce exposure is a bonus



",3.6,"3i People
3.6","Burlington, VT",AN,0,0,38,68,53.0,"3i People
", VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
